,time,n-xpos,n-ypos,t-xpos,t-ypos,c-xpos,c-ypos,c-xvel,c-yvel,c-xacc,c-yacc,c-speed,c-scacc,a-pos,a-vel,time-aligned
0,-1.0,-0.092628786,0.381080966,-0.115737026,0.277374963,-0.104182906,0.329227965,,,,,,,77.43831133,,-1.2211082000000033
1,-0.966555184,-0.090008517,0.381475316,-0.115103887,0.280516551,-0.102556202,0.330995934,0.048752355,0.052986085,,,0.072002204,,76.0408692,-41.88138265,-1.1876633840000033
2,-0.933110368,-0.085581796,0.381482333,-0.114965766,0.283597671,-0.100273781,0.332540002,0.068404249,0.046275775,0.588967823,-0.201108197,0.082586855,0.622356493,73.29078314,-82.42016167,-1.1542185680000032
3,-0.899665552,-0.081976275,0.382243897,-0.114702718,0.28774135,-0.098339496,0.334992624,0.057970559,0.073505144,-0.312697978,0.816064998,0.093614058,0.873923399,70.89891651,-71.68431442,-1.1207737520000034
4,-0.866220736,-0.082634604,0.384630277,-0.113871809,0.29332687,-0.098253207,0.338978573,0.002586107,0.11945903,-1.6598737,1.377239338,0.119487019,2.156842344,71.1128854,6.412654069,-1.0873289360000034
5,-0.83277592,-0.086944017,0.387920963,-0.113050187,0.299274972,-0.099997102,0.343597968,-0.0522646,0.138443388,-1.64387733,0.568961772,0.147980269,1.739554591,73.59034301,74.24947862,-1.0538841200000033
6,-0.799331104,-0.091269246,0.390977684,-0.112567355,0.304363454,-0.1019183,0.347670569,-0.057578374,0.122055987,-0.159253969,-0.4911309,0.1349553,0.516305518,76.18526959,77.77002762,-1.0204393040000033
7,-0.765886288,-0.093638613,0.393833234,-0.111723119,0.307496547,-0.102680866,0.350664891,-0.022854116,0.089739911,1.040687049,-0.968513754,0.092604332,1.421635827,78.16958748,59.47006657,-0.9869944880000033
8,-0.732441472,-0.09483097,0.397206378,-0.109993131,0.307941308,-0.102412051,0.352573843,0.008056402,0.057211362,0.926389159,-0.974881594,0.057775821,1.344838651,80.36000288,65.64681506,-0.9535496720000033
9,-0.698996656,-0.095710178,0.40098799,-0.107905859,0.306737814,-0.101808019,0.353862902,0.018102862,0.03863313,0.301092695,-0.556790169,0.042664181,0.632986654,82.62707085,67.94409496,-0.9201048560000034
10,-0.665551839,-0.095782533,0.404046116,-0.106061388,0.306383277,-0.100921961,0.355214697,0.026555179,0.040513327,0.253316212,0.056349569,0.04844076,0.259507952,83.99183188,40.90192894,-0.8866600390000033
11,-0.632107023,-0.094392234,0.405532997,-0.104295241,0.308132949,-0.099343737,0.356832973,0.047299407,0.048499794,0.621705117,0.239354638,0.067745582,0.666189084,84.19448534,6.07353051,-0.8532152230000033
12,-0.598662207,-0.091916875,0.406027725,-0.102587116,0.311016376,-0.097251996,0.358522051,0.062689566,0.050621707,0.461243536,0.063593792,0.080576292,0.465606883,83.59225191,-18.0489539,-0.8197704070000033
13,-0.565217391,-0.089367292,0.407188441,-0.101861142,0.313926212,-0.095614217,0.360557326,0.049084283,0.060997273,-0.407750748,0.310956037,0.078293896,0.512790726,82.36981463,-36.63648204,-0.7863255910000033
14,-0.531772575,-0.087287254,0.410058998,-0.102861768,0.317032032,-0.095074511,0.363545515,0.016174992,0.089556113,-0.986292436,0.855909278,0.091005097,1.305891826,80.49572325,-56.16657486,-0.7528807750000033
15,-0.498327759,-0.085174632,0.413640846,-0.104878,0.320609435,-0.095026316,0.367125141,0.001444395,0.107281484,-0.441476433,0.531229915,0.107291207,0.690729081,78.04188411,-73.54163266,-0.7194359590000032
16,-0.464882943,-0.081944269,0.415602606,-0.106554792,0.323997676,-0.09424953,0.369800141,0.023280298,0.080169832,0.654422667,-0.81253703,0.08348158,1.043305062,74.96204237,-92.30294901,-0.6859911430000033
17,-0.431438127,-0.077175951,0.414797124,-0.107449713,0.326592515,-0.092312832,0.37069482,0.058042922,0.026813554,1.041836894,-1.599089241,0.063937059,1.908536223,71.0566519,-117.0446696,-0.6525463270000034
18,-0.397993311,-0.071735786,0.412586573,-0.107945835,0.328892313,-0.08984081,0.370739443,0.074086549,0.001337364,0.480827983,-0.763522177,0.074098619,0.902309073,66.6044352,-133.4330679,-0.6191015110000033
19,-0.364548495,-0.066778416,0.411173666,-0.108200632,0.331661791,-0.087489524,0.371417728,0.070468128,0.020328229,-0.108444191,0.569156803,0.073341625,0.5793959,62.48245342,-123.5359175,-0.5856566950000033
20,-0.331103679,-0.062615696,0.411257024,-0.108059582,0.334754733,-0.085337639,0.373005879,0.064492048,0.047596907,-0.179103289,0.817243081,0.080154163,0.836638656,59.28884339,-95.71258819,-0.5522118790000032
21,-0.297658863,-0.059155881,0.412051085,-0.107553635,0.337815574,-0.083354758,0.37493333,0.059427013,0.057765763,-0.15179926,0.30476092,0.082876132,0.340473543,56.89770752,-71.66241364,-0.5187670630000033
22,-0.264214047,-0.056706621,0.412965409,-0.106713774,0.341607768,-0.081710197,0.377286588,0.049287536,0.070527238,-0.303880436,0.382461796,0.086042736,0.488487814,54.97738004,-57.55227215,-0.4853222470000033
23,-0.230769231,-0.055545162,0.414236492,-0.105305293,0.34712703,-0.080425227,0.380681761,0.038510584,0.101753426,-0.322985571,0.935849796,0.108797173,0.990017434,53.44391072,-45.95812149,-0.4518774310000033
24,-0.197324415,-0.055459305,0.416092134,-0.103445463,0.353416011,-0.079452384,0.384754073,0.029156144,0.122047299,-0.280352828,0.608207982,0.125481569,0.66971237,52.56157181,-26.44372365,-0.4184326150000033
25,-0.163879599,-0.056372459,0.418132166,-0.102088153,0.357939578,-0.079230306,0.388035872,0.006655677,0.098355625,-0.674339678,-0.710040198,0.098580561,0.979229842,52.7836775,6.65651412,-0.3849877990000033
26,-0.130434783,-0.058531397,0.419812648,-0.102070567,0.35955774,-0.080300982,0.389685194,-0.032088179,0.049430229,-1.161154516,-1.466295588,0.058932153,1.870374979,54.1487658,40.91173724,-0.3515429830000033
27,-0.096989967,-0.061540676,0.421327786,-0.102779176,0.359564134,-0.082159926,0.39044596,-0.055712614,0.022800177,-0.708025033,-0.798103455,0.060197536,1.066896702,56.26966345,63.56336611,-0.3180981670000033
28,-0.063545151,-0.064113597,0.423638318,-0.102543386,0.359334105,-0.083328491,0.391486212,-0.035021939,0.031176377,0.620100159,0.251034962,0.046888193,0.668986367,59.1364163,85.91666885,-0.28465335100000333
29,-0.030100334,-0.065275478,0.42725639,-0.100549986,0.358732242,-0.082912732,0.392994316,0.012460324,0.045197937,1.42304484,0.420226585,0.04688404,1.483794797,62.76172959,108.6507479,-0.2512085340000033
30,0.003344482,-0.065316765,0.431287168,-0.097746388,0.357624271,-0.081531577,0.39445572,0.041393266,0.043798319,0.867121134,-0.041946607,0.060263548,0.868135115,66.23881085,104.2082296,-0.2177637180000033
31,0.036789298,-0.065415805,0.43440687,-0.095526912,0.357222039,-0.080471359,0.395814455,0.031774763,0.040721317,-0.288266832,-0.092217825,0.051651343,0.302658047,68.68840348,73.4143645,-0.1843189020000033
32,0.070234114,-0.066388234,0.436455922,-0.094155785,0.358662725,-0.080272009,0.397559324,0.005974501,0.052293776,-0.773234629,0.346826925,0.052633959,0.847455431,70.35645354,49.99151033,-0.1508740860000033
33,0.10367893,-0.067427844,0.437911784,-0.093084533,0.361284798,-0.080256189,0.399598291,0.000474149,0.061107915,-0.16484572,0.264160018,0.061109754,0.311375379,71.48812677,33.91628063,-0.1174292700000033
34,0.137123746,-0.06630509,0.438175641,-0.092285251,0.363429009,-0.079295171,0.400802325,0.028801742,0.036084935,0.848978834,-0.749939463,0.046169935,1.132772818,70.83375759,-19.61146386,-0.08398445400000332
35,0.170568562,-0.061706876,0.436173934,-0.092276645,0.364446398,-0.07699176,0.400310166,0.069033273,-0.014750013,1.205740193,-1.523524914,0.070591471,1.942919859,66.91663978,-117.3961382,-0.0505396380000033
36,0.204013378,-0.055142994,0.432764331,-0.092866272,0.365133818,-0.074004633,0.398949074,0.089524304,-0.040791963,0.614116815,-0.780478003,0.098379801,0.993119013,60.84788206,-181.8808507,-0.017094822000003312
37,0.237458194,-0.049507836,0.430654396,-0.09284079,0.366447535,-0.071174313,0.398550966,0.084824766,-0.01193133,-0.140845297,0.864954019,0.085659778,0.876346308,55.98474357,-145.7484063,0.016349993999996704
38,0.27090301,-0.046063141,0.431307058,-0.091372272,0.368465495,-0.068717706,0.399886276,0.073624579,0.040019298,-0.335669955,1.556961871,0.083798107,1.592734939,54.20817791,-53.24372604,0.04979480999999669
39,0.304347826,-0.043791974,0.433371403,-0.089184126,0.370735929,-0.06648805,0.402053666,0.066822866,0.064956735,-0.203847531,0.747375753,0.093191592,0.774676921,54.06902197,-4.170507952,0.08323962599999668
40,0.337792642,-0.041241357,0.434789732,-0.087765965,0.373145364,-0.064503661,0.403967548,0.059472197,0.057359111,-0.220299763,-0.22770102,0.082625722,0.316827619,52.95719524,-33.32148015,0.11668444199999667
41,0.371237458,-0.03802553,0.43515663,-0.08768847,0.375921209,-0.062857,0.40553892,0.04935047,0.047094048,-0.303348463,-0.307644238,0.068215235,0.43204776,50.02355249,-87.92136131,0.1501292579999967
42,0.404682274,-0.034875251,0.435234478,-0.088229411,0.378888738,-0.061552331,0.407061608,0.039100973,0.045635013,-0.307177745,-0.043727339,0.060095262,0.310274471,46.56210225,-103.7397674,0.1835740739999967
43,0.43812709,-0.032918857,0.435262878,-0.08854229,0.38133022,-0.060730574,0.408296549,0.024628097,0.037011218,-0.433752531,-0.258455403,0.044456421,0.504916284,44.11582671,-73.31495111,0.2170188899999967
44,0.471571906,-0.03266867,0.434860562,-0.088558041,0.382777477,-0.060613356,0.408819019,0.00351302,0.015658458,-0.63281948,-0.639942848,0.016047698,0.899992968,42.98102348,-34.0100869,0.2504637059999967
45,0.505016722,-0.033415975,0.434087768,-0.088571646,0.383546885,-0.060993811,0.408817326,-0.011402244,-5.07e-05,-0.44701092,-0.470805334,0.011402357,0.649212157,42.50001221,-14.41592226,0.2839085219999967
46,0.538461538,-0.033895309,0.43359239,-0.088520944,0.384322437,-0.061208126,0.408957414,-0.006423046,0.00419843,0.149226707,0.127347956,0.007673483,0.196178776,42.04908902,-13.51418159,0.31735333799999665
47,0.571906355,-0.033539011,0.433739414,-0.088148235,0.385458018,-0.060843623,0.409598716,0.01092417,0.019219855,0.519896596,0.45019256,0.022107472,0.687725099,41.48071139,-17.03429455,0.35079815499999667
48,0.605351171,-0.032777377,0.43423128,-0.087604146,0.386686712,-0.060190762,0.410458996,0.019566276,0.025782594,0.259004178,0.196685491,0.032366361,0.325220459,40.93110953,-16.47158422,0.3842429709999967
49,0.638795987,-0.032308813,0.434633202,-0.087370817,0.387319042,-0.059839815,0.410976122,0.010517887,0.015498288,-0.271180488,-0.308220968,0.018730267,0.410535044,40.67209681,-7.762619043,0.41768778699999665
50,0.672240803,-0.032422032,0.434850208,-0.087617368,0.386911245,-0.0600197,0.410880726,-0.005391159,-0.002859002,-0.476794604,-0.550168539,0.006102335,0.728023705,40.97538776,9.089638932,0.4511326029999967
51,0.705685619,-0.032801702,0.435040023,-0.088078414,0.385955938,-0.060440058,0.410497981,-0.012598136,-0.011470897,-0.215993308,-0.258098742,0.017038031,0.33655322,41.60412856,18.84338059,0.48457741899999673
52,0.739130435,-0.032726474,0.435354232,-0.088604604,0.385602652,-0.060665539,0.410478442,-0.006757676,-0.000585576,0.175038766,0.326233405,0.006783,0.370225342,41.68054897,2.290322012,0.5180222349999967
53,0.772575251,-0.031754613,0.435816095,-0.089340106,0.386412,-0.06054736,0.411114047,0.003541839,0.01904911,0.308676777,0.588452107,0.019375583,0.664497732,40.62715327,-31.57030077,0.5514670509999967
54,0.806020067,-0.030418486,0.436296793,-0.09019647,0.387734498,-0.060307478,0.412015646,0.007189259,0.027020933,0.109313287,0.238915786,0.027960978,0.26273589,39.08963429,-46.07948968,0.5849118669999966
55,0.839464883,-0.029841243,0.436633128,-0.090652081,0.38863482,-0.060246662,0.412633974,0.001822655,0.018531306,-0.160837303,-0.254434374,0.018620724,0.301007456,38.28421426,-24.13846248,0.6183566829999967
56,0.872909699,-0.030480641,0.436826173,-0.090377925,0.388977673,-0.060429283,0.412901923,-0.005473162,0.008030439,-0.218655825,-0.3147113,0.009718202,0.383214786,38.61934888,10.04399454,0.6518014989999967
57,0.906354515,-0.031753004,0.436964528,-0.089681337,0.389102435,-0.06071717,0.413033481,-0.008627991,0.003942819,-0.09455032,-0.122506101,0.009486203,0.154749823,39.56451908,28.32677934,0.6852463149999967
58,0.939799331,-0.0330619,0.43689142,-0.089042192,0.388892361,-0.061052046,0.412891891,-0.010036244,-0.00424348,-0.042205403,-0.245343629,0.010896482,0.248947368,40.61070499,31.3542231,0.7186911309999967
59,0.973244147,-0.034488334,0.436270198,-0.088556687,0.387973023,-0.06152251,0.412121611,-0.014099819,-0.023085318,-0.121785459,-0.564690435,0.027050634,0.577673771,41.77318632,34.83960023,0.7521359469999966
60,1.006688963,-0.03609331,0.435243547,-0.088111475,0.386644016,-0.062102393,0.410943782,-0.017379089,-0.035299571,-0.09827981,-0.36606154,0.039345806,0.379025028,43.05404047,38.38723705,0.7855807629999967
61,1.040133779,-0.037258087,0.434735067,-0.087761815,0.385770194,-0.062509951,0.41025263,-0.012214545,-0.020713822,0.154781542,0.437135348,0.024046985,0.463729057,44.11366086,31.75685512,0.8190255789999967
62,1.073578595,-0.037370891,0.435557774,-0.087621766,0.385716472,-0.062496328,0.410637123,0.000408281,0.011523255,0.37830645,0.966146148,0.011530486,1.037571275,44.76554965,19.5371265,0.8524703949999968
63,1.107023411,-0.036791741,0.437157261,-0.087634214,0.386100269,-0.062212978,0.411628765,0.008492033,0.029719536,0.242270307,0.545343096,0.030908987,0.596736117,45.12061899,10.64143875,0.8859152109999966
64,1.140468227,-0.036508505,0.437770859,-0.087723819,0.386617196,-0.062116162,0.412194027,0.002901566,0.016940934,-0.167546462,-0.382975099,0.017187621,0.418021224,44.96549387,-4.649104566,0.9193600269999966
65,1.173913043,-0.036916895,0.436290837,-0.087964177,0.387371513,-0.062440536,0.411831175,-0.009721502,-0.010874692,-0.378313741,-0.83363514,0.014586519,0.915460995,43.7805471,-35.51289017,0.9528048429999967
66,1.20735786,-0.037441506,0.433748914,-0.088342062,0.388299625,-0.062891784,0.411024269,-0.013523912,-0.024182987,-0.113958327,-0.39885,0.027707635,0.414810586,41.76178058,-60.50249313,0.9862496599999966
67,1.240802676,-0.037473831,0.432392693,-0.088555044,0.388996062,-0.063014438,0.410694378,-0.003675939,-0.009886871,0.295144029,0.428455028,0.010548116,0.520272726,40.34994715,-42.31269015,1.0196944759999966
68,1.274247492,-0.03716076,0.433253496,-0.088346907,0.389289302,-0.062753833,0.411271399,0.007810317,0.017293354,0.344243444,0.814592171,0.018975278,0.884343798,40.65954732,9.278726333,1.0531392919999967
69,1.307692308,-0.036770779,0.435160999,-0.087938841,0.389360619,-0.06235481,0.412260809,0.011958746,0.029652651,0.12432855,0.370408495,0.031973291,0.390717343,41.8316287,35.12731406,1.0865841079999967
70,1.341137124,-0.035743086,0.436319434,-0.087814112,0.38915588,-0.061778599,0.412737657,0.017269057,0.014291143,0.159150183,-0.460384862,0.022415555,0.487117031,42.16884393,10.10635052,1.1200289239999968
71,1.37458194,-0.033381439,0.436239929,-0.088108666,0.388355645,-0.060745052,0.412297787,0.030975427,-0.013182912,0.410780298,-0.823398251,0.03366402,0.920176686,41.18471598,-29.49434406,1.1534737399999966
72,1.408026756,-0.030410073,0.435681216,-0.088555126,0.387165121,-0.0594826,0.411423168,0.037835745,-0.026212353,0.205603949,-0.390492733,0.04602859,0.441313447,39.84154111,-40.25499121,1.1869185559999966
73,1.441471572,-0.02861648,0.43524575,-0.089044529,0.386488222,-0.058830505,0.410866986,0.01954331,-0.016668803,-0.548224821,0.286020481,0.025686377,0.61835117,38.89898917,-28.24830969,1.2203633719999967
74,1.474916388,-0.028717016,0.434838882,-0.089782755,0.386915842,-0.059249885,0.410877362,-0.012568856,0.000310971,-0.962402594,0.508884334,0.012572703,1.088660654,38.12403767,-23.22531975,1.2538081879999967
75,1.508361204,-0.029804745,0.434362377,-0.090685471,0.387959723,-0.060245108,0.41116105,-0.02982685,0.008502148,-0.517222604,0.245489821,0.031014957,0.57252465,37.31427119,-24.26872571,1.2872530039999968
76,1.54180602,-0.031181865,0.434121793,-0.091094821,0.388654246,-0.061138343,0.411388019,-0.026770271,0.006802264,0.091605773,-0.050945592,0.027620974,0.10481923,37.19462272,-3.585868182,1.3206978199999968
77,1.575250836,-0.033241101,0.434338306,-0.090534253,0.388635228,-0.061887677,0.411486767,-0.022457582,0.002959476,0.129251409,-0.115168447,0.022651744,0.173117584,38.57956627,41.50679967,1.3541426359999966
78,1.608695652,-0.035879025,0.434825054,-0.089443669,0.388320755,-0.062661347,0.411572905,-0.023186901,0.002581541,-0.021857705,-0.011326734,0.023330168,0.024618168,40.96419467,71.46738456,1.3875874519999967
79,1.642140468,-0.037499465,0.435395521,-0.088689024,0.388241881,-0.063094244,0.411818701,-0.012973949,0.007366528,0.306082499,0.143406204,0.014919419,0.338011591,42.64994992,50.52213527,1.4210322679999967
80,1.675585284,-0.036765544,0.436138167,-0.088535582,0.388509896,-0.062650563,0.412324031,0.013297149,0.015144768,0.787345577,0.233114082,0.020153862,0.821130461,42.61395825,-1.078671327,1.4544770839999968
81,1.7090301,-0.03455701,0.437028889,-0.088591572,0.388881456,-0.061574291,0.412955173,0.032255893,0.018915321,0.56819414,0.113003578,0.037392941,0.579322354,41.70259758,-27.31350659,1.4879218999999968
82,1.742474916,-0.033115823,0.437677519,-0.088616427,0.389108277,-0.060866125,0.413392898,0.021223758,0.013118643,-0.330633423,-0.173726603,0.024950886,0.373496175,41.18955788,-15.3758151,1.5213667159999966
83,1.775919732,-0.03348579,0.437786714,-0.088770644,0.389149368,-0.061128217,0.413468041,-0.007854909,0.002252039,-0.87148853,-0.325672454,0.008171369,0.930351979,41.33999373,4.50856671,1.5548115319999967
84,1.809364548,-0.034508351,0.437591187,-0.089010797,0.389111332,-0.061759574,0.41335126,-0.018921784,-0.003499942,-0.331674585,-0.172387043,0.019242752,0.373798506,41.65305145,9.382349263,1.5882563479999967
85,1.842809365,-0.034350419,0.437535581,-0.088863306,0.389056266,-0.061606862,0.413295924,0.004576774,-0.001658413,0.70425249,0.055190684,0.004867976,0.706411765,41.64728418,-0.172845204,1.6217011649999966
86,1.876254181,-0.032471975,0.437712517,-0.088068085,0.388932336,-0.06027003,0.413322426,0.040064904,0.000794281,1.063580326,0.073507329,0.040072776,1.066117459,41.263804,-11.49291246,1.6551459809999967
87,1.909698997,-0.029764502,0.437918756,-0.086946476,0.388715335,-0.058355489,0.413317046,0.057378861,-0.000161258,0.518899805,-0.028637557,0.057379087,0.519689444,40.71103496,-16.5665047,1.6885907969999967
88,1.943143813,-0.027137482,0.438102076,-0.085842467,0.388516815,-0.056489974,0.413309445,0.055909522,-0.000227787,-0.044036133,-0.001993869,0.055909986,0.044081249,40.18616246,-15.73044459,1.7220356129999967
89,1.976588629,-0.024676251,0.438366622,-0.084712673,0.388415204,-0.054694462,0.413390913,0.053811553,0.002441583,-0.062876174,0.080001111,0.053866916,0.101752597,39.76108488,-12.7395876,1.7554804289999968
90,2.010033445,-0.022181533,0.438609915,-0.083573508,0.388265171,-0.052877521,0.413437543,0.054453799,0.001397507,0.019248127,-0.031290995,0.054471729,0.03673713,39.35360775,-12.21210189,1.7889252449999966
91,2.043478261,-0.01971603,0.438645345,-0.08268838,0.387935552,-0.051202205,0.413290449,0.050209263,-0.00440842,-0.127208868,-0.17400381,0.050402423,0.215544478,38.84347749,-15.28861924,1.8223700609999969
92,2.076923077,-0.017253199,0.438754548,-0.081808506,0.38770471,-0.049530852,0.413229629,0.050090486,-0.001822763,-0.003559756,0.077492203,0.05012364,0.077573923,38.33667529,-15.18887711,1.8558148769999967
93,2.110367893,-0.014391305,0.439604704,-0.079910575,0.388081636,-0.04715094,0.41384317,0.071326041,0.018387849,0.636430212,0.605712649,0.073658109,0.878596169,38.18081537,-4.671126448,1.8892596929999965
94,2.143812709,-0.010846592,0.441498491,-0.076363977,0.389270035,-0.043605285,0.415384263,0.106263399,0.046186592,1.047073674,0.833129184,0.115866783,1.338083524,38.5607819,11.38760813,1.9227045089999968
95,2.177257525,-0.006844688,0.444163833,-0.071803679,0.391135365,-0.039324184,0.417649599,0.128304721,0.067892192,0.66057908,0.65051748,0.145160088,0.927112567,39.22605519,19.93826069,1.9561493249999966
96,2.210702341,-0.002769829,0.447162021,-0.067248133,0.393395094,-0.035008981,0.420278558,0.129326748,0.078789968,0.030630179,0.326606663,0.151437336,0.328039815,39.82392469,17.91816682,1.9895941409999969
97,2.244147157,0.001190182,0.449908391,-0.062941345,0.395376598,-0.030875581,0.422642494,0.12387812,0.070847254,-0.163295556,-0.23804336,0.142706419,0.2886695,40.37490582,16.51292084,2.0230389569999967
98,2.277591973,0.004940979,0.45171447,-0.058602356,0.396238453,-0.026830689,0.423976462,0.121225556,0.039979043,-0.079497401,-0.925121215,0.127647794,0.928530613,41.12233327,22.4004231,2.0564837729999965
